,gis,soil
4,000010005,D
6,000010007,D
7,000010008,D
8,000010009,D
16,000010017,A
17,000010018,A
18,000010019,B
19,000010020,B
32,000010033,B
52,000020007,B
68,000020023,C
71,000020026,A
72,000020027,A
74,000020029,B
77,000020032,C
87,000020042,C
102,000020057,C
105,000030001,B
106,000030002,B
107,000030003,B
108,000030004,B
109,000030005,A
112,000040003,A
115,000040006,B
117,000040008,C
118,000040009,C
119,000040010,C
125,000040016,C
131,000050003,C
132,000050004,B
133,000050005,B
134,000050006,B
136,000050008,A
140,000050012,A
165,000060023,B
167,000060025,B
168,000060026,B
169,000060027,B
174,000060032,A
232,000070027,A
233,000070028,A
234,000070029,A
238,000070033,B
239,000070034,B
244,000070039,C
276,000080001,C
277,000080002,C
279,000080004,B
280,000080005,B
282,000080007,A
284,000080009,A
287,000080012,C
290,000080015,A
300,000090002,A
301,000090003,A
302,000090004,B
303,000090005,B
304,000090006,B
305,000090007,C
306,000090008,C
323,000100004,C
324,000100005,C
331,000100012,A
336,000100017,D
360,000110001,A
361,000110002,A
372,000120010,A
373,000120011,A
375,000120013,B
376,000120014,B
380,000120018,C
381,000120019,C
405,000130005,C
406,000130006,C
407,000130007,C
409,000130009,A
414,000130014,A
415,000130015,A
421,000130021,D
435,000140004,B
436,000140005,B
437,000140006,B
441,000140010,A
442,000140011,A
444,000140013,B
445,000140014,B
447,000140016,B
452,000140021,B
454,000150001,C
455,000150002,C
456,000150003,C
458,000150005,D
459,000150006,D
460,000160001,C
462,000160003,C
463,000160004,C
468,000160009,B
472,000160013,B
473,000160014,B
475,000160016,C
477,000160018,B
480,000160021,B
487,000170006,C
495,000170014,C
496,000170015,C
497,000170016,C
502,000170021,B
505,000170024,B
511,000170030,C
516,000170035,B
523,000180001,D
524,000180002,A
525,000180003,A
526,000180004,A
530,000190001,A
531,000190002,A
546,000200013,C
547,000200014,C
550,000200017,A
553,000200020,B
556,000200023,B
559,000200026,C
568,000200035,B
572,000210001,A
573,000210002,A
574,000210003,A
575,000210004,C
576,000210005,A
577,000210006,A
578,000210007,D
579,000210008,A
595,000220012,D
602,000220019,D
607,000220024,A
612,000220029,C
613,000220030,C
617,000220034,C
619,000220036,B
626,000220043,C
629,000230001,A
631,000230003,A
651,000250013,B
652,000250014,B
654,000250016,C
655,000250017,C
677,000260001,A
682,000270001,A
686,000280002,C
688,000280004,C
689,000280005,D
691,000280007,C
693,000280009,B
695,000280011,C
696,000280012,D
697,000280013,B
699,000280015,C
701,000280017,B
706,000310001,A
707,000310002,A
708,000310003,A
709,000320001,A
710,000330001,A
711,000330002,A
712,000330003,A
714,000340002,B
716,000340004,B
721,000340009,B
724,000340012,B
727,000350001,A
728,000360001,B
729,000360002,B
730,000360003,C
731,000360004,D
732,000360005,D
739,000380001,A
741,000390001,A
743,000390003,A
757,000400001,A
769,000420001,A
771,000430001,A
778,000440002,C
779,000440003,C
780,000440004,C
781,000440005,C
783,000440007,D
785,000440009,C
786,000440010,C
787,000440011,C
789,000440013,D
793,000450003,D
794,000450004,D
798,000450008,A
800,000450010,C
801,000450011,C
803,000450013,D
804,000450014,D
877,000530007,A
879,000530009,B
880,000530010,B
882,000530012,C
883,000530013,C
901,000540003,C
902,000540004,C
903,000540005,C
904,000540006,C
905,000540007,C
906,000540008,A
919,000550003,B
921,000550005,C
922,000550006,D
923,000550007,B
924,000550008,C
925,000550009,C
929,000550013,C
930,000550014,D
931,000550015,B
932,000550016,C
934,000560001,C
935,000560002,C
936,000560003,C
937,000560004,C
940,000560007,C
941,000560008,C
943,000560010,C
946,000580001,C
947,000580002,C
949,000580004,C
952,000580007,C
954,000580009,D
956,000580011,C
958,000580013,D
960,000580015,B
963,000590001,C
965,000590003,C
966,000590004,C
976,000600004,A
977,000600005,A
978,000600006,A
980,000600008,B
982,000610002,C
983,000610003,C
984,000610004,A
985,000610005,A
987,000610007,B
988,000610008,C
989,000610009,A
1003,000620013,C
1006,000620016,A
1007,000620017,A
1008,000620018,A
1013,000620023,C
1016,000620026,C
1019,000620029,B
1028,000620038,C
1046,000630001,A
1047,000630002,A
1048,000630003,A
1049,000630004,C
1050,000630005,C
1051,000630006,C
1052,000630007,C
1053,000630008,A
1054,000640001,A
1055,000640002,A
1056,000640003,C
1077,000680001,A
1078,000680002,C
1079,000680003,C
1080,000680004,A
1092,000690004,C
1093,000690005,C
1098,000690010,C
1100,000690012,B
1102,000690014,A
1105,000690017,C
1120,000700010,C
1139,000700029,C
1141,000700031,B
1148,000700038,C
1149,000700039,C
1160,000710001,D
1161,000710002,C
1162,000710003,C
1163,000710004,C
1164,000710005,B
1165,000710006,B
1166,000710007,A
1170,000720002,C
1171,000720003,C
1172,000720004,C
1174,000720006,C
1181,000730002,C
1182,000730003,C
1184,000730005,C
1185,000730006,C
1190,000750001,C
1192,000750003,C
1193,000750004,C
1194,000750005,A
1195,000750006,A
1196,000750007,A
1197,000750008,A
1201,000760001,C
1202,000760002,A
1218,000780002,A
1226,000780010,A
1227,000780011,A
1228,000780012,A
1230,000780014,B
1233,000790001,A
1234,000790002,A
1235,000790003,A
1236,000790004,A
1237,000790005,D
1238,000800001,C
1240,000800003,C
1241,000800004,C
1243,000800006,C
1244,000800007,C
1246,000800009,C
1247,000800010,A
1251,000810001,C
1252,000810002,A
1253,000810003,C
1254,000810004,C
1255,000810005,B
1259,000820002,A
1261,000820004,C
1262,000820005,C
1266,000820009,A
1267,000820010,A
1268,000820011,C
1270,000820013,C
1271,000820014,C
1278,000830001,C
1279,000830002,C
1293,000870001,A
1294,000870002,A
1295,000870003,A
1296,000870004,A
1297,000870005,B
1304,000890001,C
1305,000890002,C
1306,000890003,C
1307,000890004,C
1337,000960002,C
1340,000960005,A
