,sub,ext
0,1,sub
1,2,sub
2,3,sub
3,4,sub
4,5,sub
5,6,sub
6,7,sub
7,8,sub
8,9,sub
9,10,sub
10,11,sub
11,12,sub
12,13,sub
13,14,sub
14,15,sub
15,16,sub
16,17,sub
17,18,sub
18,19,sub
19,20,sub
20,21,sub
21,22,sub
24,25,sub
27,28,sub
32,33,sub
33,34,sub
35,36,sub
43,44,sub
44,45,sub
52,53,sub
53,54,sub
54,55,sub
55,56,sub
57,58,sub
58,59,sub
59,60,sub
60,61,sub
61,62,sub
62,63,sub
63,64,sub
67,68,sub
68,69,sub
69,70,sub
70,71,sub
71,72,sub
72,73,sub
74,75,sub
77,78,sub
78,79,sub
79,80,sub
80,81,sub
81,82,sub
86,87,sub
95,96,sub
96,97,sub
97,98,sub
100,101,sub
101,102,sub
104,105,sub
107,108,sub
108,109,sub
110,111,sub
113,114,sub
116,117,sub
117,118,sub
118,119,sub
121,122,sub
122,123,sub
124,125,sub
125,126,sub
128,129,sub
129,130,sub
130,131,sub
131,132,sub
132,133,sub
133,134,sub
135,136,sub
136,137,sub
137,138,sub
139,140,sub
140,141,sub
146,147,sub
147,148,sub
149,150,sub
151,152,sub
153,154,sub
157,158,sub
158,159,sub
167,168,sub
176,177,sub
180,181,sub
182,183,sub
183,184,sub
190,191,sub
194,195,sub
197,198,sub
201,202,sub
202,203,sub
203,204,sub
204,205,sub
