sub,month,treshold_hid
1,1,0.8590153846153845
1,2,0.5774519750519751
1,3,0.4122007484407484
1,4,0.43794561330561327
1,5,1.1738993762993764
1,6,1.0910020790020791
1,7,1.0119218295218295
1,8,1.120864864864865
1,9,1.4673629937629937
1,10,1.9197505197505196
1,11,1.9827093555093556
1,12,1.374047401247401
2,1,0.090928
2,2,0.03199919999999999
2,3,0.08178399999999997
2,4,0.28138399999999997
2,5,0.78228
2,6,0.5993999999999999
2,7,0.26295999999999997
2,8,0.4552319999999999
2,9,0.7968959999999999
2,10,1.4248
2,11,1.5330400000000002
2,12,0.4712239999999999
3,1,0.07569709923664122
3,2,0.022552671755725187
3,3,0.11532458015267173
3,4,0.4507236641221374
3,5,1.2409282442748093
3,6,0.9159572519083967
3,7,0.4846534351145038
3,8,0.750412213740458
3,9,1.2612641221374046
3,10,2.0803053435114505
3,11,1.8933251908396944
3,12,0.3929514503816792
4,1,0.13188534903280064
4,2,0.0316551724137931
4,3,0.08623286795626575
4,4,0.31506206896551725
4,5,0.913649116904962
4,6,0.9320154751892346
4,7,0.37146913372582
4,8,0.552316904962153
4,9,0.9567219512195122
4,10,1.5547458368376785
4,11,1.7929089991589569
4,12,0.6051088309503784
5,1,0.7568888533759489
5,2,0.4873677986416301
5,3,0.3385444027167399
5,4,0.33488888533759487
5,5,0.8758053535757092
5,6,0.9091157810627246
5,7,0.7691429484618456
5,8,0.8408035157810628
5,9,1.0684535357570915
5,10,1.504664802237315
5,11,1.6341094686376347
5,12,1.1974149420695166
6,1,0.3810163636363636
6,2,0.29073272727272725
6,3,0.4433345454545455
6,4,0.9939272727272727
6,5,1.938490909090909
6,6,1.2085636363636363
6,7,0.9424363636363635
6,8,1.336090909090909
6,9,1.999090909090909
6,10,2.726236363636364
6,11,2.218909090909091
6,12,0.7785818181818183
7,1,0.40805468354430374
7,2,0.3364678481012658
7,3,0.4265194936708861
7,4,0.7739544303797468
7,5,1.3624708860759491
7,6,1.145620253164557
7,7,0.7374987341772151
7,8,0.9539240506329114
7,9,1.381245569620253
7,10,1.8957569620253165
7,11,1.7285468354430382
7,12,0.7820354430379746
8,1,0.04504784516129032
8,2,0.025519587096774193
8,3,0.047770838709677424
8,4,0.10732180645161288
8,5,0.3127169032258065
8,6,0.2926730322580645
8,7,0.11630554838709677
8,8,0.17593083870967738
8,9,0.2968536774193548
8,10,0.664861935483871
8,11,0.7783432258064515
8,12,0.24558038709677418
9,1,0.030613068398930073
9,2,0.020483105846388995
