,hru,soil
2500,000010001,D
2507,000010008,C
2508,000010009,C
2517,000010018,D
2524,000010025,D
2525,000010026,D
2528,000010029,C
2529,000010030,C
2532,000020003,D
2533,000020004,D
2536,000020007,C
2540,000020011,D
2541,000020012,C
2544,000020015,D
2546,000020017,D
2552,000020023,C
2553,000020024,D
2554,000020025,D
2558,000020029,D
2564,000030006,C
2590,000030032,D
2595,000030037,C
2602,000030044,C
2605,000030047,C
2609,000030051,D
2611,000030053,D
2613,000030055,D
2627,000040006,D
2628,000040007,C
2632,000040011,D
2635,000040014,D
2643,000040022,D
2646,000040025,D
2647,000040026,D
2653,000040032,D
2659,000040038,D
2660,000040039,D
2663,000040042,C
2667,000050001,D
2673,000050007,C
2674,000050008,C
2676,000050010,D
2677,000050011,D
2679,000050013,D
2680,000050014,D
2682,000050016,D
2683,000050017,D
2692,000060006,B
2695,000060009,C
2701,000060015,C
2704,000060018,D
2705,000060019,C
2711,000060025,B
2712,000060026,B
2715,000060029,C
2723,000070004,C
2726,000070007,C
2730,000070011,D
2735,000070016,C
2741,000070022,B
2745,000070026,C
2748,000070029,D
2750,000080002,C
2756,000080008,D
2764,000080016,C
2767,000080019,D
2770,000080022,C
2771,000080023,C
2772,000080024,D
2775,000080027,C
2777,000080029,D
2779,000080031,D
2797,000080049,C
2798,000090001,D
2800,000090003,D
2801,000090004,C
2805,000090008,C
2806,000090009,C
2807,000090010,C
2809,000090012,D
2811,000090014,D
2821,000090024,C
2822,000090025,C
2824,000100001,D
2827,000100004,D
2828,000100005,D
2832,000100009,D
2833,000100010,D
2836,000100013,D
2837,000100014,D
2840,000100017,C
2842,000100019,D
2844,000100021,D
2848,000110001,C
2857,000110010,D
2864,000110017,D
2865,000110018,D
2868,000110021,C
2871,000110024,B
2872,000110025,B
2876,000110029,C
2878,000110031,D
2880,000120001,D
2881,000120002,D
2883,000120004,D
2884,000120005,D
2887,000120008,D
2888,000120009,D
2893,000130005,A
2899,000130011,D
2900,000130012,D
2902,000130014,C
2904,000130016,D
2905,000130017,D
2906,000130018,D
2907,000130019,D
2916,000140002,D
2917,000140003,D
2922,000140008,D
2923,000140009,D
2925,000140011,D
2926,000140012,D
2929,000150003,C
2931,000150005,D
2935,000150009,D
2941,000150015,C
2945,000150019,C
2957,000150031,C
2965,000150039,D
2976,000150050,C
2985,000160005,B
2987,000160007,D
2990,000160010,D
2993,000160013,C
3007,000160027,D
3008,000160028,D
3011,000160031,D
3012,000160032,D
3014,000160034,C
3019,000160039,D
3023,000170002,D
3026,000170005,D
3027,000170006,D
3028,000170007,D
3031,000170010,D
3040,000170019,D
3042,000170021,D
3050,000170029,D
3051,000170030,D
3055,000170034,C
3056,000170035,C
3077,000180017,D
3087,000180027,D
3088,000180028,D
3092,000180032,A
3094,000180034,A
3095,000180035,D
3097,000180037,D
3107,000180047,C
3108,000180048,C
3112,000190001,C
3113,000190002,C
3125,000190014,D
3127,000190016,C
3128,000190017,C
3130,000190019,D
3131,000190020,D
3132,000190021,D
3134,000190023,D
3136,000190025,D
3139,000190028,D
3151,000200003,D
3161,000200013,D
3162,000200014,D
3164,000200016,C
3165,000200017,C
3166,000200018,A
3173,000200025,C
3176,000200028,D
3177,000200029,D
3184,000200036,C
3185,000200037,C
3190,000210001,D
3197,000210008,D
3206,000210017,D
