gis,month,treshold_agr,sub,month
1,1,175.0,1,1
1,2,177.0,1,2
1,3,179.0,1,3
1,4,180.0,1,4
1,5,177.0,1,5
1,6,169.0,1,6
1,7,157.0,1,7
1,8,142.0,1,8
1,9,155.0,1,9
1,10,176.0,1,10
1,11,179.7,1,11
1,12,178.0,1,12
2,1,101.0,2,1
2,2,104.0,2,2
2,3,104.0,2,3
2,4,106.0,2,4
2,5,103.0,2,5
2,6,94.5,2,6
2,7,77.1,2,7
2,8,60.06,2,8
2,9,74.61,2,9
2,10,100.0,2,10
2,11,105.0,2,11
2,12,104.0,2,12
3,1,120.0,3,1
3,2,121.0,3,2
3,3,123.6,3,3
3,4,129.0,3,4
3,5,127.0,3,5
3,6,117.0,3,6
3,7,98.16,3,7
3,8,79.7,3,8
3,9,94.17,3,9
3,10,125.0,3,10
3,11,131.0,3,11
3,12,127.0,3,12
4,1,152.0,4,1
4,2,153.0,4,2
4,3,157.0,4,3
4,4,164.0,4,4
4,5,161.0,4,5
4,6,150.0,4,6
4,7,131.0,4,7
4,8,116.0,4,8
4,9,129.7,4,9
4,10,159.0,4,10
4,11,168.0,4,11
4,12,161.0,4,12
5,1,172.0,5,1
5,2,175.0,5,2
5,3,176.0,5,3
5,4,177.0,5,4
5,5,175.0,5,5
5,6,166.0,5,6
5,7,153.0,5,7
5,8,137.0,5,8
5,9,148.0,5,9
5,10,174.0,5,10
5,11,177.0,5,11
5,12,175.0,5,12
6,1,105.0,6,1
6,2,108.0,6,2
6,3,108.0,6,3
6,4,110.0,6,4
6,5,107.0,6,5
6,6,97.47,6,6
6,7,78.3,6,7
6,8,58.3,6,8
6,9,68.4,6,9
6,10,97.86,6,10
6,11,109.0,6,11
6,12,108.0,6,12
7,1,101.0,7,1
7,2,101.0,7,2
7,3,103.0,7,3
7,4,108.0,7,4
7,5,106.0,7,5
7,6,96.57,7,6
7,7,74.8,7,7
7,8,54.16,7,8
7,9,68.17,7,9
7,10,98.86,7,10
7,11,110.0,7,11
7,12,107.0,7,12
8,1,124.0,8,1
8,2,127.0,8,2
8,3,129.0,8,3
8,4,131.0,8,4
8,5,127.0,8,5
8,6,119.0,8,6
8,7,105.0,8,7
8,8,89.46000000000001,8,8
8,9,104.0,8,9
8,10,128.0,8,10
8,11,131.0,8,11
8,12,128.0,8,12
9,1,116.0,9,1
9,2,117.0,9,2
9,3,119.0,9,3
9,4,120.0,9,4
9,5,119.0,9,5
9,6,113.0,9,6
9,7,107.0,9,7
9,8,99.06,9,8
9,9,108.0,9,9
9,10,120.0,9,10
9,11,122.0,9,11
9,12,120.0,9,12
10,1,112.0,10,1
10,2,114.0,10,2
10,3,115.0,10,3
10,4,116.0,10,4
10,5,113.0,10,5
10,6,105.0,10,6
10,7,94.96000000000001,10,7
10,8,81.46000000000001,10,8
10,9,94.91,10,9
10,10,113.0,10,10
10,11,116.0,10,11
10,12,115.0,10,12
11,1,169.0,11,1
11,2,172.0,11,2
11,3,175.0,11,3
11,4,178.0,11,4
11,5,174.0,11,5
11,6,165.0,11,6
11,7,152.0,11,7
11,8,137.0,11,8
11,9,155.0,11,9
11,10,176.0,11,10
11,11,178.0,11,11
11,12,173.0,11,12
12,1,61.86,12,1
12,2,60.44,12,2
12,3,58.7,12,3
12,4,62.97,12,4
12,5,63.7,12,5
12,6,61.07,12,6
12,7,55.16,12,7
12,8,48.06,12,8
12,9,49.1,12,9
12,10,59.60000000000001,12,10
12,11,67.8,12,11
12,12,66.96000000000001,12,12
13,1,136.0,13,1
13,2,139.0,13,2
13,3,141.0,13,3
13,4,142.0,13,4
13,5,139.0,13,5
13,6,130.0,13,6
13,7,114.0,13,7
13,8,96.3,13,8
13,9,110.0,13,9
13,10,138.0,13,10
13,11,142.0,13,11
13,12,139.0,13,12
14,1,110.0,14,1
14,2,110.0,14,2
14,3,110.0,14,3
14,4,110.0,14,4
14,5,109.6,14,5
14,6,109.0,14,6
14,7,106.0,14,7
14,8,103.0,14,8
14,9,106.0,14,9
14,10,110.0,14,10
14,11,111.0,14,11
14,12,111.0,14,12
15,1,89.06,15,1
15,2,90.03999999999999,15,2
15,3,90.8,15,3
15,4,91.4,15,4
15,5,90.7,15,5
15,6,89.5,15,6
15,7,84.96000000000001,15,7
15,8,78.7,15,8
15,9,87.8,15,9
15,10,91.3,15,10
15,11,92.0,15,11
15,12,91.7,15,12
16,1,113.0,16,1
16,2,112.0,16,2
16,3,115.0,16,3
16,4,119.0,16,4
16,5,118.0,16,5
16,6,111.0,16,6
