sub,month,treshold_hid,sub,month
1,1,2.11808,1,1
1,2,1.8878400000000002,1,2
1,3,2.17088,1,3
1,4,2.7701599999999997,1,4
1,5,2.87216,1,5
1,6,2.32832,1,6
1,7,1.3584000000000003,1,7
1,8,0.4854879999999999,1,8
1,9,0.52876,1,9
1,10,1.6143999999999998,1,10
1,11,2.53256,1,11
1,12,2.6271999999999998,1,12
2,1,1.9464452830188679,2,1
2,2,1.7021778113207549,2,2
2,3,2.1907779622641512,2,3
2,4,2.8958671698113205,2,4
2,5,2.8275296603773583,2,5
2,6,2.1321889811320758,2,6
2,7,1.2691344905660378,2,7
2,8,0.5634584150943396,2,8
2,9,0.6373385660377358,2,9
2,10,1.9054297358490566,2,10
2,11,2.935480754716981,2,11
2,12,2.6043242264150943,2,12
3,1,1.939835395683453,3,1
3,2,1.7080471942446045,3,2
3,3,2.1847389928057552,3,3
3,4,2.8836155395683454,3,4
3,5,2.844673381294964,3,5
3,6,2.13550964028777,3,6
3,7,1.2714474820143886,3,7
3,8,0.5601703597122303,3,8
3,9,0.636625035971223,3,9
3,10,1.9001162589928058,3,10
3,11,2.906738417266187,3,11
3,12,2.5919999999999996,3,12
4,1,1.9271168904593639,4,1
4,2,1.6924630388692576,4,2
4,3,2.166289187279151,4,3
4,4,2.848604946996466,4,4
4,5,2.829706855123675,4,5
4,6,2.1229365371024738,4,6
4,7,1.2617453003533567,4,7
4,8,0.5552802826855123,4,8
4,9,0.632093851590106,4,9
4,10,1.884802261484099,4,10
4,11,2.895132720848056,4,11
4,12,2.5752084805653706,4,12
5,1,1.9487435294117645,5,1
5,2,1.7159717647058823,5,2
5,3,1.9558588235294119,5,3
5,4,2.571247058823529,5,4
5,5,2.711943529411765,5,5
5,6,2.2512282352941173,5,6
5,7,1.3109082352941175,5,7
5,8,0.41629552941176473,5,8
5,9,0.4042503529411764,5,9
5,10,1.3088752941176471,5,10
5,11,2.2721505882352946,5,11
5,12,2.396329411764706,5,12
6,1,1.9522998425196847,6,1
6,2,1.712148661417323,6,2
